"id","sku","slug","name","category_id","category_name","category_slug","short_description","description","price","old_price","rating_avg","rating_count","stock_quantity","is_active","tags","primary_image_url","primary_image_filename","image_count","local_folder","local_image_files","created_at","updated_at"
"1","PTS-W01","on-gold-standard-100-whey-5lbs","Optimum Nutrition Gold Standard 100% Whey 5lbs","1","Whey Protein","whey-protein","24g Protein tăng cơ, phục hồi hiệu quả cơ bắp","Gold Standard 100% Whey™ là tiêu chuẩn vàng về chất lượng protein với 24g đạm mỗi lần dùng. Thành phần chính là Whey Protein Isolate giúp hấp thụ nhanh sau tập.","1650000.00","1850000.00","4.80","1240","45","1","Best Seller, On Sale","/uploads/products/image-1.jpg","1.jpg","1","001_on-gold-standard-100-whey-5lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Wed Jun 17 2026 12:59:13 GMT+0700 (GMT+07:00)"
"2","PTS-W02","rule-1-protein-isolate-5lbs","Rule 1 Protein Isolate 5lbs","1","Whey Protein","whey-protein","100% Pure Whey Isolate & Hydrolyzed siêu hấp thụ","Rule 1 Protein sử dụng 100% whey isolate và hydrolyzed, không có tạp chất. Mỗi serving cung cấp 25g protein tinh sạch với hàm lượng đường gần như bằng 0.","1550000.00","1750000.00","4.70","890","50","1","Best Seller, On Sale","/uploads/products/image-2.jpg","1.jpg","1","002_rule-1-protein-isolate-5lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"3","PTS-W03","dymatize-iso100-hydrolyzed-5lbs","Dymatize ISO 100 Hydrolyzed 5lbs","1","Whey Protein","whey-protein","Whey hydrolyzed cao cấp nhất cho vận động viên chuyên nghiệp","ISO 100 của Dymatize là sản phẩm whey hydrolyzed hàng đầu thế giới. Quá trình thủy phân cắt giảm phân tử đạm xuống mức vi mô giúp hấp thu gần như tức thì sau tập.","2250000.00","2450000.00","4.90","1560","42","1","On Sale","/uploads/products/image-3.jpg","1.jpg","1","003_dymatize-iso100-hydrolyzed-5lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Wed Jun 17 2026 12:59:13 GMT+0700 (GMT+07:00)"
"4","PTS-W04","muscletech-nitrotech-whey-gold-5lbs","Muscletech NitroTech Whey Gold 5lbs","1","Whey Protein","whey-protein","Công thức Whey Peptides cao cấp, hỗ trợ phát triển nạc cơ tối đa","NitroTech Whey Gold bổ sung 2.5g Creatine và 5.5g BCAA trong mỗi serving, giúp tối ưu hóa tổng hợp protein và hồi phục cơ bắp sau tập luyện cường độ cao.","1450000.00","1650000.00","4.60","720","47","1","Best Seller","/uploads/products/image-4.jpg","1.jpg","1","004_muscletech-nitrotech-whey-gold-5lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Wed Jun 17 2026 12:59:13 GMT+0700 (GMT+07:00)"
"5","PTS-W05","nutrabolics-hydropure-4-5lbs","Nutrabolics Hydropure 100 Hydrolyzed Whey 4.5lbs","1","Whey Protein","whey-protein","28g Đạm thủy phân cao cấp tinh khiết nhất","Hydropure sử dụng công nghệ lọc lạnh vi mô (CFM) độc quyền kết hợp thủy phân bậc cao, tạo ra nguồn đạm 28g/serving tinh khiết tuyệt đối, gần như 0% lactose.","2550000.00","3090000.00","4.70","430","46","1","Best Seller","/uploads/products/image-5.jpg","1.jpg","1","005_nutrabolics-hydropure-4-5lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Wed Jun 17 2026 12:59:39 GMT+0700 (GMT+07:00)"
"6","PTS-W06","mutant-iso-surge-5lbs","Mutant Iso Surge 5lbs","1","Whey Protein","whey-protein","Whey cô lập cao cấp với hệ thống hương vị thơm ngon xuất sắc","Mutant Iso Surge cung cấp 25g whey isolate tinh khiết mỗi serving với hương vị phong phú, không gây đầy bụng hay khó tiêu. Phù hợp cả người mới lẫn gymer lâu năm.","1750000.00","1950000.00","4.50","380","50","1","","/uploads/products/image-6.jpg","1.jpg","1","006_mutant-iso-surge-5lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"7","PTS-W07","allmax-isoflex-5lbs","Allmax Isoflex Whey Isolate 5lbs","1","Whey Protein","whey-protein","Công nghệ lọc lạnh CFM độc quyền tạo ra nguồn đạm siêu sạch","Isoflex dùng công nghệ lọc trạng thái rắn độc quyền (SSF) loại bỏ hoàn toàn lactose, fat, và tạp chất. Kết quả: 27g protein tinh khiết 99% mỗi serving.","1950000.00","2150000.00","4.60","510","50","1","On Sale","/uploads/products/image-7.jpg","1.jpg","1","007_allmax-isoflex-5lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"8","PTS-W08","myprotein-impact-whey-isolate-1kg","MyProtein Impact Whey Isolate 1kg","1","Whey Protein","whey-protein","Tỷ lệ protein tinh sạch cao đạt 90%, không trans-fat","Impact Whey Isolate của MyProtein đạt tỷ lệ protein 90%, cực kỳ ít carbs và fat. Sản xuất tại Anh theo chuẩn GMP, có rất nhiều hương vị đa dạng.","850000.00","990000.00","4.40","2100","50","1","On Sale","/uploads/products/image-8.jpg","1.jpg","1","008_myprotein-impact-whey-isolate-1kg","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"9","PTS-W09","vpx-vp2-whey-isolate-2lbs","VPX VP2 Whey Isolate 2lbs","1","Whey Protein","whey-protein","Nghiên cứu khoa học cô lập vi mô phát triển sợi cơ nhanh","VP2 Whey Isolate của VPX được phát triển dựa trên nghiên cứu khoa học về cô lập protein vi mô, cung cấp 22g đạm tinh khiết và các chuỗi peptide sinh học tối ưu.","920000.00","1050000.00","4.30","290","50","1","","/uploads/products/image-9.jpg","1.jpg","1","009_vpx-vp2-whey-isolate-2lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
"10","PTS-W10","bpi-sports-iso-hd-5lbs","BPI Sports ISO HD 5lbs","1","Whey Protein","whey-protein","Cung cấp hàm lượng axit amin thiết yếu EAA dồi dào","ISO HD cung cấp 25g whey isolate mỗi serving cùng profile EAA đầy đủ. Công thức ít carb phù hợp cho người đang trong giai đoạn siết nạc.","1390000.00","1550000.00","4.40","450","50","1","","/uploads/products/image-10.jpg","1.jpg","1","010_bpi-sports-iso-hd-5lbs","1.jpg","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)","Fri Jun 12 2026 18:02:55 GMT+0700 (GMT+07:00)"
